casual,casual,registered,registered,cnt,cnt
sum,mean,sum,mean,sum,mean
7375,10.158402203856749,31755,43.739669421487605,39130,53.89807162534435
4709,6.504143646408839,19455,26.87154696132597,24164,33.3756906077348
3412,4.772027972027972,12940,18.097902097902097,16352,22.86993006993007
1893,2.715925394548063,6281,9.011477761836442,8174,11.727403156384504
874,1.2539454806312769,3554,5.098995695839311,4428,6.352941176470588
1012,1.411436541143654,13249,18.478382147838214,14261,19.88981868898187
3017,4.161379310344827,52115,71.88275862068966,55132,76.04413793103448
8037,11.055020632737277,146134,201.009628610729,154171,212.0646492434663
15761,21.679504814305364,245240,337.3314993122421,261001,359.01100412654745
22458,30.891334250343878,136980,188.4181568088033,159438,219.30949105914718
33789,46.47730398899587,92468,127.19119669876204,126257,173.6685006877579
43286,59.54057771664374,108034,148.60247592847318,151320,208.1430536451169
49718,68.29395604395604,134696,185.02197802197801,184414,253.31593406593407
52713,72.30864197530865,132206,181.3525377229081,184919,253.66117969821673
55089,75.5679012345679,120563,165.38134430727024,175652,240.94924554183814
54606,74.90534979423869,128543,176.3278463648834,183149,251.2331961591221
53834,73.74520547945205,173914,238.23835616438356,227748,311.9835616438356
54220,74.27397260273973,282640,387.17808219178085,336860,461.45205479452056
44496,61.120879120879124,265276,364.3901098901099,309772,425.510989010989
35505,48.770604395604394,191284,262.75274725274727,226789,311.52335164835165
26378,36.23351648351648,138172,189.7967032967033,164550,226.03021978021977
20570,28.255494505494507,104875,144.05906593406593,125445,172.31456043956044
16200,22.252747252747252,79412,109.08241758241758,95612,131.33516483516485
11065,15.199175824175825,52876,72.63186813186813,63941,87.83104395604396
